Dept Name,Position Description,Job Min Annual,Job Max Annual,Neg Body
JUDICIAL,ENFORCEMENT OFFICER,77419.0,81771.0,BPSU
JUDICIAL,FAMILY SUPPORT OFFICER,104393.0,111555.0,BPSU
JUDICIAL,MANAGER,119615.0,119615.0,BPSU
JUDICIAL,OFFICE MANAGER,81771.0,87149.0,BPSU
JUDICIAL,ACCOUNTING OFFICER,81771.0,87149.0,BPSU
JUDICIAL,RECORDS SUPERVISOR,72011.0,77419.0,BPSU
JUDICIAL,SENIOR ADMINISTRATIVE ASST.,69449.0,74661.0,BPSU
JUDICIAL,RELIEF COURT ASSOCIATE,58600.0,62489.0,BPSU
JUDICIAL,BAILIFF,66982.0,72011.0,BPSU
JUDICIAL,HEAD BAILIFF/DEPUTY PROVOST,100668.0,108268.0,BPSU
ATTORNEY GENERAL'S CHAMBER,ACCOUNTS OFFICER,69449.0,74661.0,BPSU
ATTORNEY GENERAL'S CHAMBER,RECORDS MANAGEMENT ADMIN.,58600.0,62489.0,BPSU
ATTORNEY GENERAL'S CHAMBER,OFFICE MANAGER,81771.0,87149.0,BPSU
ATTORNEY GENERAL'S CHAMBER,CUSTOMER SERVICE REPRESENTATIV,56823.0,60567.0,BPSU
ATTORNEY GENERAL'S CHAMBER,SOLICITOR GENERAL,196287.0,196287.0,BPSU
ATTORNEY GENERAL'S CHAMBER,CROWN COUNSEL,157752.0,157752.0,BPSU
ATTORNEY GENERAL'S CHAMBER,PARALEGAL TO THE SOLICITOR GEN,69449.0,74661.0,BPSU
ATTORNEY GENERAL'S CHAMBER,ADMINISTRATIVE ASSISTANT,64606.0,69449.0,BPSU
ATTORNEY GENERAL'S CHAMBER,DEPUTY SOLICITOR GENERAL,187893.0,187893.0,BPSU
ATTORNEY GENERAL'S CHAMBER,PARLIAMENTARY COUNSEL,172157.0,172157.0,BPSU
ATTORNEY GENERAL'S CHAMBER,LEGISLATIVE EDITOR,77419.0,81771.0,BPSU
ATTORNEY GENERAL'S CHAMBER,LEGISLATIVE ADMINISTRATOR,69449.0,74661.0,BPSU
ATTORNEY GENERAL'S CHAMBER,ASST. PARLIAMENTARY COUNSEL,93611.0,100668.0,BPSU
ATTORNEY GENERAL'S CHAMBER,LEGISLATIVE DATABASE MANAGER,93611.0,100668.0,BPSU
ATTORNEY GENERAL'S CHAMBER,T/A PARLIAMENTARY COUNSEL,172157.0,172157.0,BPSU
ATTORNEY GENERAL'S CHAMBER,CROWN COUNSEL-DEU,157752.0,157752.0,BPSU
ATTORNEY GENERAL'S CHAMBER,JUNIOR CROWN COUNSEL,93611.0,100668.0,BPSU
ATTORNEY GENERAL'S CHAMBER,ADMINSTRATOR - DEU,66982.0,72011.0,BPSU
AUDITOR GENERAL,AUDITOR GENERAL,205068.0,205068.0,STATPOST
AUDITOR GENERAL,ASSISTANT AUDITOR GENERAL,157752.0,157752.0,BPSU
AUDITOR GENERAL,STAFF AUDITOR II,93611.0,100668.0,BPSU
AUDITOR GENERAL,AUDIT MANAGER,119615.0,128645.0,BPSU
AUDITOR GENERAL,Senior Staff Auditor,108268.0,115610.0,BPSU
AUDITOR GENERAL,CORPORATE SERVICES ASSISTANT,69449.0,74661.0,BPSU
AUDITOR GENERAL,ADMINISTRATIVE ASSISTANT,69449.0,74661.0,BPSU
AUDITOR GENERAL,SENIOR STAFF AUDITOR,104393.0,111555.0,BPSU
AUDITOR GENERAL,IT SUPPORT MANAGER,104393.0,111555.0,BPSU
AUDITOR GENERAL,AUDIT PRINCIPAL,133426.0,144558.0,BPSU
AUDITOR GENERAL,IT SENIOR STAFF AUDITOR,104393.0,111555.0,BPSU
AUDITOR GENERAL,STAFF AUDITOR 1,84445.0,90268.0,BPSU
DEFENCE,ASSISTANT PAYMASTER,72011.0,77419.0,BPSU
DEFENCE,COMMANDING OFFICER,162422.0,162422.0,REG
DEFENCE,QUARTERMASTER CLERK,80345.0,103288.0,REG
DEFENCE,STOREMAN,105914.0,111633.0,REG
DEFENCE,DIPLOMATIC DRIVER,62271.0,80345.0,REG
DEFENCE,ASST REGIMENTAL ADMIN OFFICER,111633.0,114782.0,REG
DEFENCE,MOTOR TRANSPORT WARRANT OFFICE,80345.0,111633.0,REG
DEFENCE,QUARTERMASTER CSM,74631.0,74631.0,REG
DEFENCE,DIPLOMATIC DRIVER GH,88946.0,88946.0,REG
DEFENCE,CHIEF CLERK,103288.0,103288.0,REG
DEFENCE,FULL-TIME STAFF INSTRUCTOR,138818.0,138818.0,REG
DEFENCE,BAND DEVELOPMENT OFFICER,114782.0,114782.0,REG
DEFENCE,DIRECTOR OF MUSIC,138818.0,138818.0,REG
DEFENCE,FULL-TIME STAFF INSTRUCTOR,103288.0,103288.0,REG
DEFENCE,AMMUNITION OFFICER,111633.0,111633.0,REG
DEFENCE,PERSONAL STAFF OFFICER,114782.0,114782.0,REG
DEFENCE,DIPLOMATIC DRIVER,69553.0,69553.0,REG
DEFENCE,FULL TIME INSTRUCTOR,121223.0,121223.0,REG
DEFENCE,FULL-TIME STAFF INSTRUCTOR,105914.0,105914.0,REG
DEFENCE,STOREMAN,77469.0,77469.0,REG
DEFENCE,STAFF OFFICER,138818.0,138818.0,REG
DEFENCE,REGIMENT CAREERS MANGM OFFICER,138818.0,138818.0,REG
DEFENCE,Maritime Unit 2IC,121223.0,121223.0,REG
DEFENCE,Maritime Unit Commander,124812.0,124812.0,REG
DEFENCE,Maritime Enforcement Specialst,77469.0,79639.0,REG
DEFENCE,Maritime Enforcement Specialst,77469.0,77469.0,REG
DEFENCE,Martime Enforcement Specialst,77469.0,77469.0,REG
DEFENCE,Maritime Enforcement Specialst,91774.0,91774.0,REG
DEFENCE,MARITIME ENFORCEMENT SPECIALIS,59310.0,59310.0,REG
DEFENCE,FULL-TIME STAFF INSTRUCTOR,69553.0,69553.0,REG
DEFENCE,BOATSWAIN'S MATE,54400.0,77469.0,REG
DEFENCE,SKILLED GARDENER 1,,60715.0,MISC
DEFENCE,REGIMENTAL SERGEANT MAJOR,117931.0,117931.0,REG
POLICE,INSPECTOR,115279.0,115279.0,PA
POLICE,CONSTABLE,76056.0,76056.0,PA
POLICE,SERGEANT,99740.0,99740.0,PA
POLICE,CONSTABLE,76056.0,96526.0,PA
POLICE,CHIEF INSPECTOR,136917.0,136917.0,PA
POLICE,SERGEANT,99740.0,112274.0,PA
POLICE,INSPECTOR,115279.0,122993.0,PA
POLICE,ASSISTANT COMMISSIONER,181166.0,181166.0,PA
POLICE,CHIEF INSPECTOR,136917.0,146173.0,PA
POLICE,CONSTABLE,76056.0,122993.0,PA
POLICE,COMMISSIONER OF POLICE,,206955.0,STATPOST
POLICE,DEPUTY COMMISSIONER OF POLICE,,194369.0,STATPOST
POLICE,ADMINISTRATIVE ASSISTANT,64606.0,69449.0,BPSU
POLICE,Public & Media Relations Mgr.,108268.0,115610.0,BPSU
POLICE,ADMINISTRATIVE ASSISTANT,58600.0,62489.0,BPSU
POLICE,SUPERINTENDENT,157543.0,168256.0,PA
POLICE,PUBLIC & MEDIA RELAT OFFCR,81771.0,87149.0,BPSU
POLICE,ASSISTANT COMMISSIONER,181166.0,186195.0,PA
POLICE,HR ADMINISTRATOR II,64606.0,69449.0,BPSU
POLICE,HR ADMINISTRATOR II,64606.0,72011.0,BPSU
POLICE,OCCUPATIONAL HEALTH OFFICER,104393.0,111555.0,BPSU
POLICE,ASSISTANT PURCHASING AND,66982.0,72011.0,BPSU
POLICE,ACCOUNTS ASSISTANT,56823.0,60567.0,BPSU
POLICE,MANAGER FINANCE & ADMINISTRAT,124043.0,133426.0,BPSU
POLICE,PRINCIPAL PURCHASING AND,97071.0,104393.0,BPSU
POLICE,ACCOUNTS ADMINISTRATOR,58600.0,62489.0,BPSU
POLICE,FACILITIES MANAGER,104393.0,111555.0,BPSU
POLICE,"MANAGER, TECHNOLOGY",124043.0,133426.0,BPSU
POLICE,NETWORK COORDINATOR,100668.0,108268.0,BPSU
POLICE,BUSINESS ANALYST,93611.0,100668.0,BPSU
POLICE,ADMINISTRATIVE ASSISTANT,60567.0,64606.0,BPSU
POLICE,GROUNDSMAN,,58954.0,BIU
POLICE,Administrative Officer,69449.0,74661.0,BPSU
POLICE,STATION DUTY OFFICER,56823.0,60567.0,BPSU
POLICE,CLERK//PROCESSING OPERATOR,53736.0,60567.0,BPSU
POLICE,RECEPTIONIST,50006.0,53736.0,BPSU
POLICE,ADMINISTRATIVE OFFICER,60567.0,69449.0,BPSU
POLICE,TRAFFIC WARDEN,56823.0,60567.0,BPSU
POLICE,SENIOR TRAFFIC WARDEN,74661.0,79895.0,BPSU
POLICE,TRAFFIC RECORDS CLERK,56823.0,60567.0,BPSU
POLICE,TRADESMAN CLASS 2 - MECHANIC,,62544.0,BIU
POLICE,BODY PAINT TECHNICIAN,,66247.0,BIU
POLICE,MOTOR MECHANIC,,66247.0,BIU
POLICE,VEHICLE FLEET MANAGER,100668.0,108268.0,BPSU
POLICE,MOTOR CYCLE MECHANIC,,66247.0,BIU
POLICE,BODY PAINT TECHNICIAN,,62544.0,BIU
POLICE,FINANCIAL ANALYST,97071.0,104393.0,BPSU
POLICE,FINGERPRINT SUPERVISOR,100668.0,108268.0,BPSU
POLICE,ADMINISTRATIVE ASSISTANT,58600.0,60567.0,BPSU
POLICE,FORENSIC SUPPORT UNIT OFFICER,81771.0,84445.0,BPSU
POLICE,SECRETARY,58600.0,74661.0,BPSU
POLICE,ADMINISTRATIVE ASSISTANT,58600.0,74661.0,BPSU
POLICE,INTELLIGENCE EVALUATOR,55702.0,58600.0,BPSU
POLICE,SENIOR INTELLIGENCE ANALYST,108268.0,115610.0,BPSU
POLICE,INTELLIGENCE ANALYST,84445.0,90268.0,BPSU
POLICE,VETTING COORDINATOR,58600.0,62489.0,BPSU
POLICE,DRIVER/MESSENGER,,59884.0,BIU
CABINET OFFICE,SECRETARY TO THE CABINET,223835.0,223835.0,BPSU
CABINET OFFICE,MINISTRY COMPTROLLER,128645.0,138378.0,BPSU
CABINET OFFICE,ADMINISTRATIVE OFFICER,77419.0,81771.0,BPSU
CABINET OFFICE,RELIEF PREMIER EXEC ASST,81771.0,87149.0,BPSU
CABINET OFFICE,ADMINISTRATIVE OFFICER,81771.0,87149.0,BPSU
CABINET OFFICE,SECRETARY/RECEPTIONIST,55702.0,58600.0,BPSU
CABINET OFFICE,PERMANENT SECRETARY,196287.0,196287.0,BPSU
CABINET OFFICE,"PERMANENT SECRETARY, CABINET O",196287.0,196287.0,BPSU
CABINET OFFICE,ADMINISTRATIVE ASSISTANT,,106699.0,MISC
CABINET OFFICE,CABINET  INTERN,,84444.0,MISC
CABINET OFFICE,DEPUTY CHIEF OF STAFF,124043.0,133426.0,MISBPSU
CABINET OFFICE,SOCIAL MEDIA COORDINATOR,87149.0,93611.0,BPSA
CABINET OFFICE,PERSONAL AIDE TO THE PREMIER,,87149.0,MISC
CABINET OFFICE,RELIEF CHIEF OF PROTOCOL,93611.0,100668.0,BPSU
CABINET OFFICE,CARETAKER,,,BIU
CABINET OFFICE,HOUSEKEEPER,,68250.0,BIU
CABINET OFFICE,ADMINISTRATIVE ASSISTANT,62489.0,66982.0,BPSU
CABINET OFFICE,POLICY ANALYST,115610.0,124043.0,BPSU
CABINET OFFICE,"MANAGER, SUSTAINABLE DEVELP",164794.0,164794.0,BPSU
CABINET OFFICE,OCCUPATNL SAFETYHEALTH OFFICER,108268.0,115610.0,BPSU
CABINET OFFICE,DIRECTOR & UK REPRESENTATIVE,172157.0,172157.0,BPSU
CABINET OFFICE,CONSULATE OFFICER,72011.0,77419.0,BPSU
CABINET OFFICE,EXECUTIVE ASSISTANT,74661.0,77419.0,BPSU
CABINET OFFICE,POLICY & PROJECT COORDINATOR,124043.0,133426.0,BPSU
CABINET OFFICE,SENIOR FINANCE OFFICER,90268.0,93611.0,BPSU
CABINET OFFICE,HEAD OF THE PUBLIC SERVICE,223835.0,223835.0,BPSU
CABINET OFFICE,INFORMATION & PRIVACY ANALYST,115610.0,124043.0,BPSU
CABINET OFFICE,INFORMATION & PRIVACY ANALYST,124043.0,124043.0,BPSU
CABINET OFFICE,SENIOR ANALYST INFO & PRIVACY,115610.0,124043.0,BPSU
MINISTRY OF FINANCE HQ,RELIEF FINANCIAL SECRETARY,223835.0,223835.0,BPSU
MINISTRY OF FINANCE HQ,ADMINISTRATIVE OFFICER,81771.0,87149.0,BPSU
MINISTRY OF FINANCE HQ,POLITICAL AIDE TO THE MINISTER,,106800.0,BPSU
MINISTRY OF FINANCE HQ,EXECUTIVE ASSISTANT,79895.0,79895.0,BPSU
MINISTRY OF FINANCE HQ,CHIEF OPERATIONS OFFICER,151004.0,151004.0,BPSU
MINISTRY OF FINANCE HQ,DIRECTOR OF BUDGET,172157.0,172157.0,BPSU
MINISTRY OF FINANCE HQ,PRINCIPAL BUDGET OFFICER,111555.0,119615.0,BPSU
MINISTRY OF FINANCE HQ,BUDGET OFFICER,81771.0,87149.0,BPSU
MINISTRY OF FINANCE HQ,BUDGET ASSISTANT,64606.0,69449.0,BPSU
MINISTRY OF FINANCE HQ,DEPUTY FINANCIAL SEC - I&R,,196287.0,BPSU
MINISTRY OF FINANCE HQ,ADMINISTRATOR,74661.0,79895.0,BPSU
MINISTRY OF FINANCE HQ,ECONOMIC ADVISOR,,124043.0,BPSU
MINISTRY OF FINANCE HQ,ASST.FINANCIAL SEC(TREATIES),179853.0,205068.0,BPSU
MINISTRY OF FINANCE HQ,JR EXCHANGE OF INFO OFFICER,72011.0,77419.0,BPSU
MINISTRY OF FINANCE HQ,SR EXCHANGE OF INFO OFFICER,100668.0,124043.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,PRIVACY COMMISSIONER,196287.0,196287.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,DEPUTY COMMISSIONER,144558.0,144558.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,ASST COMMISSIONER (OPERATIONS),124043.0,133426.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,ASST COMMISSIONER (INVESTIGAT),124043.0,128645.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,ADMINISTRATIVE SUPPORT OFFICER,64606.0,69449.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,COMPLIANCE & RISK OFFICER,100668.0,100668.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,INCLUSION & ENGAGEMENT OFFICER,93611.0,93611.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,INNOVATION POLICY & TRNG OFF,111555.0,119615.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,INVESTIGATIONS OFFICER,,111555.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,EXECUTIVE SECRETARY,,93611.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,INVESTIGATIONS OFFICER,111555.0,119615.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,MARKETING & ENGAGEMENT OFFICER,100668.0,104393.0,BPSU
PRIVACY COMMISSIONER'S OFFICE,ASST COMMISSIONER (POL&ENGMT),,124043.0,BPSU
ACCOUNTANT GENERAL,ACCOUNTANT GENERAL,172157.0,172157.0,BPSU
ACCOUNTANT GENERAL,RECEPTIONIST CLERK,50006.0,53736.0,BPSU
ACCOUNTANT GENERAL,OFFICE MANAGER,79895.0,84445.0,BPSU
ACCOUNTANT GENERAL,SENIOR MANAGEMENT ACCOUNTANT,128645.0,138378.0,BPSU
ACCOUNTANT GENERAL,FINANCIAL REPORTING OFFICER,93611.0,100668.0,BPSU
ACCOUNTANT GENERAL,MANAGEMENT ACCOUNTANT,115610.0,124043.0,BPSU
ACCOUNTANT GENERAL,"MANAGER, COMPLI AND DISBURSEME",108268.0,115610.0,BPSU
ACCOUNTANT GENERAL,SR COMPL AND DISBURSEMENT OFCR,81771.0,87149.0,BPSU
ACCOUNTANT GENERAL,COMPLI AND DISBURSEMENT ADMIN,69449.0,74661.0,BPSU
ACCOUNTANT GENERAL,CASHIER,58600.0,62489.0,BPSU
ACCOUNTANT GENERAL,RELIEF CASHIER,64606.0,69449.0,BPSU
ACCOUNTANT GENERAL,MANAGER - TREASURY,128645.0,138378.0,BPSU
ACCOUNTANT GENERAL,INVESTMENT & TREASURY OFFICER,93611.0,100668.0,BPSU
ACCOUNTANT GENERAL,DEBT COLLECTOR ADMINISTRATOR,66982.0,72011.0,BPSU
ACCOUNTANT GENERAL,INVESTMENT ADMINISTRATOR,69449.0,74661.0,BPSU
ACCOUNTANT GENERAL,SR BANK RECONCILIATIONS OFFIC,81771.0,87149.0,BPSU
ACCOUNTANT GENERAL,BANK RECONCILIATIONS ADMINISTR,72011.0,77419.0,BPSU
ACCOUNTANT GENERAL,BANK RECONCILIATIONSADMINISTR,72011.0,77419.0,BPSU
ACCOUNTANT GENERAL,MANAGER - FINANCIAL SYSTEMS,119615.0,128645.0,BPSU
ACCOUNTANT GENERAL,ADMINISTRATIVE ASSISTANT,66982.0,72011.0,BPSU
ACCOUNTANT GENERAL,FINANCIAL SYSTEMS OFFICER,93611.0,100668.0,BPSU
ACCOUNTANT GENERAL,GEHI MANAGER,,119615.0,BPSU
ACCOUNTANT GENERAL,MEDICAL CLAIMS ASSESSOR,74661.0,79895.0,BPSU
ACCOUNTANT GENERAL,COMPLIANCE & ENROLLMENT OFFICE,72011.0,77419.0,BPSU
ACCOUNTANT GENERAL,CLAIMS ADMINISTRATOR,62489.0,66982.0,BPSU
ACCOUNTANT GENERAL,RELIEF GEHI CLAIMS ADMIN,62489.0,66982.0,BPSU
CUSTOMS,CUSTOMS OFFICER,74661.0,79895.0,BPSU
CUSTOMS,PRINCIPAL CUSTOMS OFFICER,104393.0,111555.0,BPSU
CUSTOMS,CASHIER,55702.0,58600.0,BPSU
CUSTOMS,SENIOR CUSTOMS OFFICER,90268.0,97071.0,BPSU
CUSTOMS,TRAINEE CUSTOMS OFFICER,62489.0,66982.0,BPSU
CUSTOMS,TRAINEE CUSTOMS OFFICER,62489.0,62489.0,BPSU
CUSTOMS,PROCESSING SUPERVISOR,69449.0,74661.0,BPSU
CUSTOMS,CASHIER / ACCOUNTS ASSISTANT,60567.0,64606.0,BPSU
CUSTOMS,COMPUTER SUPPORT OFFICER,74661.0,79895.0,BPSU
CUSTOMS,ASSISTANT COLLECTOR OF CUSTOMS,128645.0,138378.0,BPSU
CUSTOMS,ACCOUNTS ASSISTANT,58600.0,62489.0,BPSU
CUSTOMS,PAYROLL ADMINISTRATOR,60567.0,64606.0,BPSU
CUSTOMS,COLLECTOR OF CUSTOMS,172157.0,172157.0,BPSU
CUSTOMS,ASSISTANT COLLECTOR,128645.0,138378.0,BPSU
CUSTOMS,DEPARTMENTAL CONTROLLER,119615.0,128645.0,BPSU
CUSTOMS,ADMINISTRATIVE ASSISTANT,72011.0,77419.0,BPSU
CUSTOMS,IT MANAGER,108268.0,115610.0,BPSU
CUSTOMS,INTELLIGENCE PROCESSING ASST.,55702.0,58600.0,BPSU
POST OFFICE,POSTMASTER GENERAL,172157.0,172157.0,BPSU
POST OFFICE,COORDINAT SUB OFFICE OPERATION,119615.0,128645.0,BPSU
POST OFFICE,ADMINISTRATIVE OFFICER,66982.0,72011.0,BPSU
POST OFFICE,CUSTOMER RELATIONS OFFICER,74661.0,79895.0,BPSU
POST OFFICE,QUALITY ASSURANCE OFFICER,104393.0,111555.0,BPSU
POST OFFICE,"MANAGER, FACILITIES & PROCUREM",104393.0,111555.0,BPSU
POST OFFICE,PURCHASING & SUPPLIES ASST.,64606.0,69449.0,BPSU
POST OFFICE,HANDYMAN/LOCKSMITH,,62192.0,BIU
POST OFFICE,JANITOR,,57673.0,BIU
POST OFFICE,JANITOR,,57674.0,BIU
POST OFFICE,APPLICATION ANALYST,90268.0,97071.0,BPSU
POST OFFICE,IT MANAGER,115610.0,124043.0,BPSU
POST OFFICE,SENIOR ACCOUNTS OFFICER,93611.0,100668.0,BPSU
POST OFFICE,ACCOUNTS CLERK,64606.0,69449.0,BPSU
POST OFFICE,MANAGEMENT ACCOUNTANT,115610.0,124043.0,BPSU
POST OFFICE,PHILATELIC COORDINATOR,84445.0,90268.0,BPSU
POST OFFICE,SENIOR CLERK,62489.0,66982.0,BPSU
POST OFFICE,SENIOR CLERK GPO & BMPC,62489.0,66982.0,BPSU
POST OFFICE,MAIL PROCESSING CLERK,55702.0,58600.0,BPSU
POST OFFICE,RELIEF MAIL PROCESSING CLERK,55702.0,58600.0,BPSU
POST OFFICE,ASSISTANT MANAGER - GPO & BMPC,84445.0,90268.0,BPSU
POST OFFICE,ASSISTANT MANAGER - GPO & BMPC,84445.0,84445.0,BPSU
POST OFFICE,INSIDE CHIEF AREA POSTPERSON,,67587.0,BIU
POST OFFICE,VAN DRIVER,,62193.0,BIU
POST OFFICE,VAN DRIVER,,62192.0,BIU
POST OFFICE,INSIDE POSTPERSON,,60114.0,BIU
POST OFFICE,CUSTOMER SERVICE REP.,56823.0,60567.0,BPSU
POST OFFICE,ASSISTANT MANAGER-PARCEL POST,84445.0,90268.0,BPSU
POST OFFICE,POSTMASTER/MISTRESS,77419.0,79895.0,BPSU
POST OFFICE,CUSTOMER SERVICE REP.,56823.0,58600.0,BPSU
POST OFFICE,POSTMASTER/MISTRESS,79895.0,84445.0,BPSU
POST OFFICE,CUSTOMER SERVICE REP.,55702.0,58600.0,BPSU
POST OFFICE,POST MISTRESS/MASTER LEVEL 2,77419.0,81771.0,BPSU
POST OFFICE,POST MISTRESS/MASTER LEVEL 3,77419.0,81771.0,BPSU
POST OFFICE,POSTMASTER/MISTRESS,77419.0,81771.0,BPSU
POST OFFICE,CUSTOMER SERVICE REPRESENTATIV,56823.0,60567.0,BPSU
POST OFFICE,COURIER,53736.0,56823.0,BPSU
POST OFFICE,INSIDE POSTPERSON,,60115.0,BIU
POST OFFICE,DELIVERY CHIEF AREA POSTPERSON,,67587.0,BIU
POST OFFICE,DELIVERY POSTPERSON,,62192.0,BIU
POST OFFICE,DELIVERY POSTPERSON,,62193.0,BIU
POST OFFICE,RELIEF DELIVERY POSTPERSON,,62193.0,BIU
POST OFFICE,RELIEF DELIVERY POSTPERSON,,62192.0,BIU
STATISTICS,DIRECTOR,172157.0,172157.0,BPSU
STATISTICS,ADMINISTRATIVE OFFCER,69449.0,72011.0,BPSU
STATISTICS,STATISTICIAN,119615.0,124043.0,BPSU
STATISTICS,STATISTICAL OFFICER,66982.0,72011.0,BPSU
STATISTICS,ASSISTANT STATISTICIAN,87149.0,93611.0,BPSU
STATISTICS,STATISTICAL OFFICER,69449.0,74661.0,BPSU
STATISTICS,CENSUS AND SURVEY CLERK,53736.0,56823.0,BPSU
STATISTICS,SENIOR STATISTICIAN,87149.0,93611.0,BPSU
MIN OF EDUCATION HQ,SENIOR POLICY ANALYST,128645.0,138378.0,BPSU
MIN OF EDUCATION HQ,ADMIN ASSIST/ACCOUNTS OFFICER,72011.0,77419.0,BPSU
